Username,Post Date,Content,Like Count
meow_art_coffee,9/9/2024,"3D & 2D拉花工作坊 詳情👇
平日收費：
$450一位，兩位或以上95折
星期六，日及公眾假期收費:
$488一位，兩位或以上95折

時間：2.5小時

工作坊流程：
1. 導師3D立體朱古力貓貓拉花示範 及 講解 
2. 學員3D立體朱古力貓貓拉花沖調體驗 
3. 小休 及 2D拉花材料準備
4. 導師咖啡沖調, 2D平面拉花示範 及 講解
5. 學員2D平面拉花沖調體驗
6. 品嘗咖啡 及 下午茶時段 -- 蛋糕1件

成功報名可額外獲送貓貓凍乾一份
感受一下被貓圍的快樂❤️

詳情/報名查詢
Whatsapp: 56900686
☕️Meow Art Coffee☕️
☀︎ www.meowartcoffee.com
貓Cafe｜ 咖啡｜朱古力｜拉花班｜工作坊｜
📍IG：Meow Art Coffee ☎️56900686

#貓Cafe #meowartcoffee #3D貓貓 #cafe #workshop #咖啡課程 #咖啡用具 #咖啡烘焙 #咖啡豆 #手沖咖啡 #coffee #barista #latteart #拉花 #咖啡班 #拉花班 #咖啡拉花 #3D拉花 #學拉花 #拉花體驗 #拉花教學 #2024",9
meow_art_coffee,8/9/2024,"3D咖啡/朱古力
早上起來，一杯咖啡，是不是你的日常？但你有沒有想過，這杯咖啡，可以更有趣？告訴你，現在有3D咖啡和朱古力，不僅能自由製作奶泡，還能在不同機構享受到這種服務💛

#聖誕節工作坊 #聖誕節 #聖誕節朱古力 #朱古力 #工作坊 #荃灣咖啡 #朱古力拉花 #貓Cafe #MeowArtCoffee #3D朱古力 #latteartworkshop #cafe #workshop #咖啡課程 #咖啡用具 #咖啡烘焙 #咖啡豆 #手沖咖啡 #coffee #barista #latteart #拉花 #咖啡班 #拉花班 #咖啡拉花 #3D拉花 #學拉花 #拉花體驗 #拉花教學 #咖啡工作室",8
meow_art_coffee,4/9/2024,"奴才：淡奶真係好可愛呀😍望住佢，我心都溶埋呀❤️
參加我地個頌缽伸展課程可以同主子們一齊溶係地下😆
想了解更多貓貓快d搵我（剷屎的奴才）預約喇🤗

任坐優惠詳情
平日任坐優惠︰
時段︰1230-2030
成人$120
學生$100（ 需要出示學生證）
小童$100（3歲以下不收費）

星期六、日及公眾假期任坐優惠：
時段︰1100-2030（任選3小時）
成人$150
學生$100（ 需要出示學生證）
小童$100（3歲以下不收費)

詳情/報名查詢
Whatsapp: 56900686
☕️Meow Art Coffee☕️
☀︎ www.meowartcoffee.com
海景Cafe｜ 咖啡｜拉花班｜朱古力拉花 ｜工作坊
📍IG：Meow Art Coffee ☎️56900686

#meowartcoffee #喵公館 #貓星人 #貓奴 #貓店長 #貓貓 #貓cafe #cat #catphoto #淡奶 #三花貓 #三色貓  #女貓 #英短 #咖啡 #伸展 #頌缽 #共享空間 #租場 #包場 #工作坊 #休閒 #放鬆 #放電 #海景 #海濱公園 #南豐紗廠 #荃灣 #荃灣西 #香港",24
meow_art_coffee,1/9/2024,"3D & 2D拉花工作坊 詳情👇
平日收費：
$450一位，兩位或以上95折
星期六，日及公眾假期收費:
$488一位，兩位或以上95折

時間：2.5小時

工作坊流程：
1. 導師3D立體朱古力貓貓拉花示範 及 講解 
2. 學員3D立體朱古力貓貓拉花沖調體驗 
3. 小休 及 2D拉花材料準備
4. 導師咖啡沖調, 2D平面拉花示範 及 講解
5. 學員2D平面拉花沖調體驗
6. 品嘗咖啡 及 下午茶時段 -- 蛋糕1件

成功報名可額外獲送貓貓凍乾一份
感受一下被貓圍的快樂❤️

詳情/報名查詢
Whatsapp: 56900686
☕️Meow Art Coffee☕️
☀︎ www.meowartcoffee.com
貓Cafe｜ 咖啡｜朱古力｜拉花班｜工作坊｜
📍IG：Meow Art Coffee ☎️56900686

#貓Cafe #meowartcoffee #3D貓貓 #cafe #workshop #咖啡課程 #咖啡用具 #咖啡烘焙 #咖啡豆 #手沖咖啡 #coffee #barista #latteart #拉花 #咖啡班 #拉花班 #咖啡拉花 #3D拉花 #學拉花 #拉花體驗 #拉花教學 #2024",10
meow_art_coffee,25/8/2024,"奴才：我都想做貓🥲日日就係食屙玩瞓
想了解更多貓貓快d搵我（剷屎的奴才）預約喇🤗

任坐優惠詳情
平日任坐優惠︰
時段︰1230-2030
成人$120
學生$100（ 需要出示學生證）
小童$100（3歲以下不收費）

星期六、日及公眾假期任坐優惠：
時段︰1100-2030（任選3小時）
成人$150
學生$100（ 需要出示學生證）
小童$100（3歲以下不收費)

詳情/報名查詢
Whatsapp: 56900686
☕️Meow Art Coffee☕️
☀︎ www.meowartcoffee.com
海景Cafe｜ 咖啡｜拉花班｜朱古力拉花 ｜工作坊
📍IG：Meow Art Coffee ☎️56900686

#meowartcoffee #喵公館 #貓星人 #貓奴 #貓店長 #貓貓 #貓cafe #cat #catphoto #綿花糖 #麥芽糖 #公公 #絕育 #帥貓 #咖啡 #3D拉花 #coffee #共享空間 #租場 #包場 #工作坊 #休閒 #放鬆 #放電 #海景 #海濱公園 #南豐紗廠 #荃灣  #荃灣西 #香港",27
meow_art_coffee,22/8/2024,"🐱Meow Art coffee ☕️ 
在這裡，每隻貓都有自己的故事，就像那個角落裡想睡的麥芽糖，據說它曾是浪浪，現在卻成了店裡的溫柔守護者。還有窗台上曬太陽的朱古力，總愛用那雙無辜大眼望著你，彷彿在說：來陪我玩吧！
而店裡的佈置也是用心良苦，從軟墊到爬架，每個角落都設計得讓這些小傢伙們能盡情玩耍，快點來預約我們的貓貓咖啡店，喵～🐱

#貓Cafe #貓咖 #貓貓cafe #喵公館 #meowartcoffee #catcafe #貓奴 #緬因貓 #布偶貓 #英短 #異國短毛貓 #豹貓 #星之花 #八角編 #星之花工作坊 #手作 #荃灣 #荃灣西 #香港手作店 #手工 #週末好去處 #親子活動 #貓 #寵物工作坊 #星之花 #星之花工作坊 #療癒",36
meow_art_coffee,19/8/2024,"3D & 2D拉花工作坊 詳情👇
平日收費：
$450一位，兩位或以上95折
星期六，日及公眾假期收費:
$488一位，兩位或以上95折

時間：2.5小時

工作坊流程：
1. 導師3D立體朱古力貓貓拉花示範 及 講解 
2. 學員3D立體朱古力貓貓拉花沖調體驗 
3. 小休 及 2D拉花材料準備
4. 導師咖啡沖調, 2D平面拉花示範 及 講解
5. 學員2D平面拉花沖調體驗
6. 品嘗咖啡 及 下午茶時段 -- 蛋糕1件

成功報名可額外獲送貓貓凍乾一份
感受一下被貓圍的快樂❤️

詳情/報名查詢
Whatsapp: 56900686
☕️Meow Art Coffee☕️
☀︎ www.meowartcoffee.com
貓Cafe｜ 咖啡｜朱古力｜拉花班｜工作坊｜
📍IG：Meow Art Coffee ☎️56900686

#貓Cafe #meowartcoffee #3D貓貓 #cafe #workshop #咖啡課程 #咖啡用具 #咖啡烘焙 #咖啡豆 #手沖咖啡 #coffee #barista #latteart #拉花 #咖啡班 #拉花班 #咖啡拉花 #3D拉花 #學拉花 #拉花體驗 #拉花教學 #2024",9
meow_art_coffee,13/8/2024,"🐱Meow Art Coffee🐱
和貓咪互動不僅能放鬆心情，還能降低壓力激素，提高幸福感！不相信？來試試就知道了！

#貓Cafe #貓咖 #貓貓cafe #喵公館 #meowartcoffee #catcafe #貓奴 #緬因貓 #布偶貓 #英短 #異國短毛貓 #豹貓 #星之花 #八角編 #星之花工作坊 #手作 #荃灣 #荃灣西 #香港手作店 #手工 #週末好去處 #親子活動 #貓 #寵物工作坊 #星之花 #星之花工作坊 #療癒",19
meow_art_coffee,12/8/2024,"奴才：本公司設有小小店長可以報名參加
想了解更多小小店長詳情快d搵我（剷屎的奴才）🤗

另外我地仲有任坐優惠
平日任坐優惠︰
時段︰1230-2030
成人$120
學生$100（ 需要出示學生證）
小童$100（3歲以下不收費）

星期六、日及公眾假期任坐優惠：
時段︰1100-2030(任選3小時）
成人$150
學生$100（ 需要出示學生證）
小童$100（3歲以下不收費)

詳情/報名查詢
Whatsapp: 56900686
☕️Meow Art Coffee☕️
☀︎ www.meowartcoffee.com
海景Cafe｜ 咖啡｜拉花班｜朱古力拉花 ｜工作坊
📍IG：Meow Art Coffee ☎️56900686

#meowartcoffee #喵公館 #貓星人 #貓奴 #貓店長 #貓貓 #貓cafe #cat #catphoto #浪浪 #呀黑 #元朗  #田野 #肌肉貓 #咖啡 #3D拉花 #coffee #共享空間 #租場 #包場 #工作坊 #休閒 #放鬆 #放電 #海景 #海濱公園 #南豐紗廠 #荃灣  #荃灣西 #香港",12
meow_art_coffee,11/8/2024,"3D & 2D拉花工作坊 詳情👇
平日收費：
$450一位，兩位或以上95折
星期六，日及公眾假期收費:
$488一位，兩位或以上95折

時間：2.5小時

工作坊流程：
1. 導師3D立體朱古力貓貓拉花示範 及 講解 
2. 學員3D立體朱古力貓貓拉花沖調體驗 
3. 小休 及 2D拉花材料準備
4. 導師咖啡沖調, 2D平面拉花示範 及 講解
5. 學員2D平面拉花沖調體驗
6. 品嘗咖啡 及 下午茶時段 -- 蛋糕1件

成功報名可額外獲送貓貓凍乾一份
感受一下被貓圍的快樂❤️

詳情/報名查詢
Whatsapp: 56900686
☕️Meow Art Coffee☕️
☀︎ www.meowartcoffee.com
貓Cafe｜ 咖啡｜朱古力｜拉花班｜工作坊｜
📍IG：Meow Art Coffee ☎️56900686

#貓Cafe #meowartcoffee #3D貓貓 #cafe #workshop #咖啡課程 #咖啡用具 #咖啡烘焙 #咖啡豆 #手沖咖啡 #coffee #barista #latteart #拉花 #咖啡班 #拉花班 #咖啡拉花 #3D拉花 #學拉花 #拉花體驗 #拉花教學 #2024",9
