,Username,Post Date,Content,Like Count,Date,DateDiff(days),Year,hashtags,hashtag_count
2029,acupofcat_cafe,2021-01-06,"西口西面唔代表工作效率囉 你識條喵咩🐱
不過幾時到星期六🥲
.
.
.
.
#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #假日好去處 #meow",28,2021-01-06,0.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#假日好去處', '#meow']",16.0
2006,acupofcat_cafe,2021-01-08,"我咁似方包會唔會比人類食落肚架?喵🐱

.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#小食 #互讚 #學生會 #補習 #悶 #運動",42,2021-01-08,2.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#學生會', '#補習', '#悶', '#運動']",29.0
1973,acupofcat_cafe,2021-01-09,"紀念一下開學麻~ 唔小心吃了8口漢堡 

每個一口🍔🍔🍔🍔🍔🍔🍔🍔

.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#狗狗 #貓貓cafe #tea #teatime #香港紋身 #cat #catstagram #無聊 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#小食 #互讚 #梗圖 #補習 #悶 #運動內衣",62,2021-01-09,1.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#狗狗', '#貓貓cafe', '#tea', '#teatime', '#香港紋身', '#cat', '#catstagram', '#無聊', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#梗圖', '#補習', '#悶', '#運動內衣']",29.0
2010,acupofcat_cafe,2021-02-07,"Err….
.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#小食 #互讚 #學生會",62,2021-02-07,29.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#學生會']",26.0
2005,acupofcat_cafe,2021-02-08,"櫻花🌸樹下既歌詞：樹陰有一隻….🐱
.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#小食 #互讚 #學生會 #補習 #悶 #運動",24,2021-02-08,1.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#學生會', '#補習', '#悶', '#運動']",29.0
1972,acupofcat_cafe,2021-02-09,"本店祝學生們 學業進步身體健康
最緊要珍惜校園生活 
那怕隔住口罩 都唔好隔到
學校生活既開心事

學生生涯往往會長大後
先識得回味

瘋狂做功課 玩 考試 測驗! 
好好享受啦！ 

.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#小食 #互讚 #學生會 #補習 #悶 #運動",119,2021-02-09,1.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#學生會', '#補習', '#悶', '#運動']",29.0
1955,acupofcat_cafe,2021-02-10,"雞翼之所以叫雞翼; 
加因呢一個畫面既下一秒, 
雞翼已被搶走🥲 

.
.
.
.

#嘆杯貓茶 #攝影 #葵芳 #catcafe #hkig #私影 
#格仔鋪 #貓cafe  #潛水 #teatime #cake #cat #catstagram #最平 #抵食 #假日好去處 #教主 #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#一日遊 #互讚 #香港紋身 #補習 #悶 #小清新",181,2021-02-10,1.0,2021.0,"['#嘆杯貓茶', '#攝影', '#葵芳', '#catcafe', '#hkig', '#私影', '#格仔鋪', '#貓cafe', '#潛水', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#教主', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#一日遊', '#互讚', '#香港紋身', '#補習', '#悶', '#小清新']",29.0
2027,acupofcat_cafe,2021-03-06,"一時既大頭蝦 有時就會破壞左全日既心情🤥🐱
.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #假日好去處 #meow",25,2021-03-06,24.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#假日好去處', '#meow']",16.0
2004,acupofcat_cafe,2021-03-08,"噴射火焰🔥！ 

.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #teatime #cake #cat #catstagram #最平 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#小食 #互讚 #學生會 #補習 #悶 #運動",44,2021-03-08,2.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#teatime', '#cake', '#cat', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#學生會', '#補習', '#悶', '#運動']",29.0
1970,acupofcat_cafe,2021-03-09,"賞花🌸賞月🌕賞貓貓🐱

9月21日中秋佳節限定❣️

貓係夜行動物 你可以睇到佢地最瘋狂既一面；而且中秋佳節陪貓貓過 將會另有一番體會!~ 
你地會過一個既浪漫又休閒 開心又難忘既一個中秋夜! 

未有節目既你😛
不仿考慮賞 賞燈 賞貓貓 
黎嘆杯貓杯啦xD 

早book早享受 

(全日會限制人流)
要了解更多詳情🔎
請係主頁禁入去whatsapp連結🔗
客服會盡快回覆! 

.
.
.
.

#嘆杯貓茶 #貓cafe #葵芳 #catcafe #hkig #喵
#甜品 #貓貓cafe #tea #月兔 #cake #中秋好去處 #catstagram #最平 #抵食 #假日好去處 #meow #生日 #partyroom 
#學生優惠 #student #party #情侶 #拍拖好去處#小食 #互讚 #學生會 #補習 #悶 #特別",116,2021-03-09,1.0,2021.0,"['#嘆杯貓茶', '#貓cafe', '#葵芳', '#catcafe', '#hkig', '#喵', '#甜品', '#貓貓cafe', '#tea', '#月兔', '#cake', '#中秋好去處', '#catstagram', '#最平', '#抵食', '#假日好去處', '#meow', '#生日', '#partyroom', '#學生優惠', '#student', '#party', '#情侶', '#拍拖好去處#小食', '#互讚', '#學生會', '#補習', '#悶', '#特別']",29.0
